date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:28:30	7298/7298	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22137876b258672b76fd13fc80a9502d83%22	https://www.schloss-freudenfels.ch/robots.txt		(from )
19:28:31	118/118	---MC-	302	error ('Found')	text/html	date:Fri,%2012%20Jun%202026%2016:28:30%20GMT	https://www.schloss-freudenfels.ch/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/index.html	(from )
19:28:32	44607/44607	---MCZ	200	added ('OK')	text/html	etag:W/%22ba1585ecb5c308b4538ac483a643cddf%22	https://www.schloss-freudenfels.ch/en/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/index.html	(from https://www.schloss-freudenfels.ch/)
19:28:32	142/142	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2012%20Jun%202026%2016:28:32%20GMT	https://www.schloss-freudenfels.ch//OpenGraphImage-J7OLYR66.jpg	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/OpenGraphImage-J7OLYR66.0.delayed	(from https://www.schloss-freudenfels.ch/en/)
19:28:33	46861/46861	---MCZ	200	added ('OK')	text/html	etag:W/%2229ff6d7b928c54e9548340e4c56f2b03%22	https://www.schloss-freudenfels.ch/de/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:34	88584/88584	---M--	200	added ('OK')	image/jpeg	etag:%22b080705a9100077f1744f54176ccc4fe%22	https://www.schloss-freudenfels.ch/OpenGraphImage-J7OLYR66.jpg	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/OpenGraphImage-J7OLYR66.jpg	(from https://www.schloss-freudenfels.ch/en/)
19:28:34	4081/4081	---M--	200	added ('OK')	image/png	etag:%22289a5a8b7d30e2f1332514363f65350d%22	https://www.schloss-freudenfels.ch/favicon-OWSPSPJF.png	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/favicon-OWSPSPJF.png	(from https://www.schloss-freudenfels.ch/en/)
19:28:36	41448/41448	---M--	200	added ('OK')	font/woff2	etag:%226ff9b802dfe34efae583ca6ed04d1e94%22	https://www.schloss-freudenfels.ch/Grafier-RegularDisplay-JBYXNUJ4.woff2	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/Grafier-RegularDisplay-JBYXNUJ4.woff2	(from https://www.schloss-freudenfels.ch/en/)
19:28:37	34668/34668	---M--	200	added ('OK')	font/woff2	etag:%2271e9798bc1241a592e10cf44c56b6102%22	https://www.schloss-freudenfels.ch/NeueMachina-Black-3G4SBTUK.woff2	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/NeueMachina-Black-3G4SBTUK.woff2	(from https://www.schloss-freudenfels.ch/en/)
19:28:38	33616/33616	---M--	200	added ('OK')	font/woff2	etag:%22cda7e2c1afe577257e365e134bb43c33%22	https://www.schloss-freudenfels.ch/NeueMachina-Regular-RIUAPWEK.woff2	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/NeueMachina-Regular-RIUAPWEK.woff2	(from https://www.schloss-freudenfels.ch/en/)
19:28:38	31556/31556	---M--	200	added ('OK')	font/woff2	etag:%22ca18e70a78109431ec779c0d7484d266%22	https://www.schloss-freudenfels.ch/NeueMachina-Ultralight-L6F37B7B.woff2	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/NeueMachina-Ultralight-L6F37B7B.woff2	(from https://www.schloss-freudenfels.ch/en/)
19:28:40	25295/25295	---MCZ	200	added ('OK')	text/html	etag:W/%22040b25691896338ad4b03f2012e1e10f%22	https://www.schloss-freudenfels.ch/de/adventsfenster/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/adventsfenster/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:41	65447/65447	---MCZ	200	added ('OK')	text/html	etag:W/%22441418af9be248478554be85bf580c73%22	https://www.schloss-freudenfels.ch/de/sommerfrische/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/sommerfrische/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:42	102341/102341	---MCZ	200	added ('OK')	text/html	etag:W/%22ecbaad13fed0e8c42e5461fe61dca332%22	https://www.schloss-freudenfels.ch/de/veranstaltungen/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/veranstaltungen/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:43	97676/97676	---MCZ	200	added ('OK')	text/html	etag:W/%2208fa1a954e04f70fb6a2fdea691538f4%22	https://www.schloss-freudenfels.ch/de/restaurant/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/restaurant/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:44	100024/100024	---MCZ	200	added ('OK')	text/html	etag:W/%225e37d263ee6d60b9c61b23c10a51376f%22	https://www.schloss-freudenfels.ch/de/hotel/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/hotel/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:45	94574/94574	---MCZ	200	added ('OK')	text/html	etag:W/%22dfd9212f26f0f8671469e8dd833c100d%22	https://www.schloss-freudenfels.ch/en/restaurant/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/restaurant/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:46	46861/46861	---MCZ	200	added ('OK')	text/html	etag:W/%2229ff6d7b928c54e9548340e4c56f2b03%22	https://www.schloss-freudenfels.ch/de/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:47	95286/95286	---MCZ	200	added ('OK')	text/html	etag:W/%22bfa01a5eb802e2b966f16a3db2ef7a0d%22	https://www.schloss-freudenfels.ch/en/hotel/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/hotel/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:48	55957/55957	---MCZ	200	added ('OK')	text/html	etag:W/%227aecd47e3a99ae09f2cc3ee1f7f5c9bd%22	https://www.schloss-freudenfels.ch/de/auffahrt/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/auffahrt/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:49	45365/45365	---MCZ	200	added ('OK')	text/html	etag:W/%22da6c4cc60b39eb69433c0312ed3363f3%22	https://www.schloss-freudenfels.ch/de/wild-event/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/wild-event/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:50	97362/97362	---MCZ	200	added ('OK')	text/html	etag:W/%227dadd91b41a896a1c413046daf768759%22	https://www.schloss-freudenfels.ch/de/heiraten-auf-dem-schloss/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/heiraten-auf-dem-schloss/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:51	43920/43920	---MCZ	200	added ('OK')	text/html	etag:W/%22e570c1b7d9028ef087cd4f3bda5b4788%22	https://www.schloss-freudenfels.ch/de/metzgete/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/metzgete/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:52	52166/52166	---MCZ	200	added ('OK')	text/html	etag:W/%227dc47c0aa19e669c3b1b0d704ce89d2b%22	https://www.schloss-freudenfels.ch/de/ostern/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/ostern/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:53	38959/38959	---MCZ	200	added ('OK')	text/html	etag:W/%228001f9d1018f5537a8a7cb80cc54b1bb%22	https://www.schloss-freudenfels.ch/de/kontakt/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/kontakt/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:54	98049/98049	---MCZ	200	added ('OK')	text/html	etag:W/%229615b87e516b28c4fd425f2e903f8ee7%22	https://www.schloss-freudenfels.ch/de/event/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/event/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:55	35794/35794	---MCZ	200	added ('OK')	text/html	etag:W/%222faaac9b42acd15660fae864b9bb6680%22	https://www.schloss-freudenfels.ch/en/kontakt/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/kontakt/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:56	31072/31072	---MCZ	200	added ('OK')	text/html	etag:W/%2264788abe330888cfeb00837761c80bc4%22	https://www.schloss-freudenfels.ch/de/lieferanten/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/lieferanten/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:57	55171/55171	---MCZ	200	added ('OK')	text/html	etag:W/%2254702fdfa0aba1495753927151d43339%22	https://www.schloss-freudenfels.ch/en/sommerfrische/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/sommerfrische/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:58	98156/98156	---MCZ	200	added ('OK')	text/html	etag:W/%2264ccdfbd5b657a6c1e19ee7f6cce8422%22	https://www.schloss-freudenfels.ch/de/seminar/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/seminar/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:28:59	33113/33113	---MCZ	200	added ('OK')	text/html	etag:W/%22567c2d050b3a2ce4886da0d75e63b7cb%22	https://www.schloss-freudenfels.ch/en/cause-we-care/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/cause-we-care/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:00	95960/95960	---MCZ	200	added ('OK')	text/html	etag:W/%2248632edaa02adc5f11a8015e4d748076%22	https://www.schloss-freudenfels.ch/en/event/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/event/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:01	26619/26619	---MCZ	200	added ('OK')	text/html	etag:W/%227c60896b2d171462beff86e97c56ddd4%22	https://www.schloss-freudenfels.ch/en/lieferanten/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/lieferanten/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:02	35230/35230	---MCZ	200	added ('OK')	text/html	etag:W/%2212cf8137732a680754fb0f6df47e5b3a%22	https://www.schloss-freudenfels.ch/de/cause-we-care/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/cause-we-care/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:03	25355/25355	---MCZ	200	added ('OK')	text/html	etag:W/%22d9ca90d615d6887e9276c74b900f87cb%22	https://www.schloss-freudenfels.ch/de/tag-der-offenen-tur/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/tag-der-offenen-tur/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:04	46396/46396	---MCZ	200	added ('OK')	text/html	etag:W/%221f9d5de16c7265ab8108a013405338f8%22	https://www.schloss-freudenfels.ch/en/ostern/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/ostern/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:05	45798/45798	---MCZ	200	added ('OK')	text/html	etag:W/%22d475960c3cf90ee6759e16a388bda9ff%22	https://www.schloss-freudenfels.ch/de/theater-annet-am-rhy/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/theater-annet-am-rhy/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:06	24194/24194	---MCZ	200	added ('OK')	text/html	etag:W/%223c4ce4962e04ff4fcff354544efedc94%22	https://www.schloss-freudenfels.ch/de/chor-der-100/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/chor-der-100/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:07	44607/44607	---MCZ	200	added ('OK')	text/html	etag:W/%22ba1585ecb5c308b4538ac483a643cddf%22	https://www.schloss-freudenfels.ch/en/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:08	46013/46013	---MCZ	200	added ('OK')	text/html	etag:W/%2264876f7b8891ff5e2d309c7aeeed3e4a%22	https://www.schloss-freudenfels.ch/de/comedy-dinner/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/comedy-dinner/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:09	37940/37940	---MCZ	200	added ('OK')	text/html	etag:W/%222f75a99825fe3a7414a552df451b1635%22	https://www.schloss-freudenfels.ch/de/buchungsanfrage/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/buchungsanfrage/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:10	28338/28338	---MCZ	200	added ('OK')	text/html	etag:W/%22ddd04c404bbcea1a8bd28ddf63c91ea3%22	https://www.schloss-freudenfels.ch/de/tickets-sommerfest/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/tickets-sommerfest/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:11	23479/23479	---MCZ	200	added ('OK')	text/html	etag:W/%2250b380bdbe6287320f459f08b6b7ca5e%22	https://www.schloss-freudenfels.ch/en/impressum/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/impressum/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:12	26034/26034	---MCZ	200	added ('OK')	text/html	etag:W/%2273e969d1427ad0ae63a344351a085579%22	https://www.schloss-freudenfels.ch/de/impressum/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/impressum/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:13	36098/36098	---MCZ	200	added ('OK')	text/html	etag:W/%2259234a3a0251237ab0468e2f335898b6%22	https://www.schloss-freudenfels.ch/en/booking-enquiry/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/booking-enquiry/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:14	21141/21141	---MCZ	200	added ('OK')	text/html	etag:W/%2235a22dd09628c3f1ce59326245ce884e%22	https://www.schloss-freudenfels.ch/en/form-successfully-submitted/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/form-successfully-submitted/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:15	23086/23086	---MCZ	200	added ('OK')	text/html	etag:W/%22985a08d0c4e16f5111a9295b7fb364d2%22	https://www.schloss-freudenfels.ch/de/form-successfully-submitted/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/form-successfully-submitted/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:15	226/226	---M--	200	added ('OK')	text/html	etag:%2298c363ce3eb27515e9b6eb80d05f4141%22	https://www.schloss-freudenfels.ch/de/senderliste/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/senderliste/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:17	95672/95672	---MCZ	200	added ('OK')	text/html	etag:W/%22d5de080c1f7fb63cdd63336130164379%22	https://www.schloss-freudenfels.ch/en/seminar/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/seminar/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:18	22986/22986	---MCZ	200	added ('OK')	text/html	etag:W/%2279b7f8cb3c4fc06837278ba2785bf229%22	https://www.schloss-freudenfels.ch/de/order-successfully-submitted/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/order-successfully-submitted/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:19	27632/27632	---MCZ	200	added ('OK')	text/html	etag:W/%22e46f100c4cf48cad772c58ebef8bbac1%22	https://www.schloss-freudenfels.ch/de/nachricht/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/nachricht/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:20	29530/29530	---MCZ	200	added ('OK')	text/html	etag:W/%22cd09ff190e10bbf7389cca0a1d3dcdb3%22	https://www.schloss-freudenfels.ch/de/bewerbung/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/bewerbung/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:21	34713/34713	---MCZ	200	added ('OK')	text/html	etag:W/%22770348f10fe62780550a2799d3126a99%22	https://www.schloss-freudenfels.ch/de/arbeiten-auf-dem-schloss/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/arbeiten-auf-dem-schloss/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:22	33492/33492	---MCZ	200	added ('OK')	text/html	etag:W/%22682c1a7a2773bfc68e47ca5ecdd2c891%22	https://www.schloss-freudenfels.ch/de/anfrage-hochzeit-friday-special/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/anfrage-hochzeit-friday-special/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:23	31263/31263	---MCZ	200	added ('OK')	text/html	etag:W/%2225f95397039f4c97d2502cea4c9cef7b%22	https://www.schloss-freudenfels.ch/de/anfrage-seminar/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/anfrage-seminar/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:24	43437/43437	---MCZ	200	added ('OK')	text/html	etag:W/%2289bbd9b2daa51a2fd77f52ec0ed5c005%22	https://www.schloss-freudenfels.ch/de/initiativ-bewerbung/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/initiativ-bewerbung/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:25	31733/31733	---MCZ	200	added ('OK')	text/html	etag:W/%227a51c6943965a5d88e767f4d279f60fb%22	https://www.schloss-freudenfels.ch/de/anfrage-event/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/anfrage-event/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:26	33411/33411	---MCZ	200	added ('OK')	text/html	etag:W/%221aa5342937ef78cdfcebeee40868b803%22	https://www.schloss-freudenfels.ch/de/anfrage-hochzeit/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/anfrage-hochzeit/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:27	21045/21045	---MCZ	200	added ('OK')	text/html	etag:W/%22a69ade0862730010d277baf417628689%22	https://www.schloss-freudenfels.ch/en/404/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/404/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:27	226/226	---M--	200	added ('OK')	text/html	etag:%224cde4b8cc5d962da313db51578468c0e%22	https://www.schloss-freudenfels.ch/de/info/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/info/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:29	35551/35551	---MCZ	200	added ('OK')	text/html	etag:W/%22f27162d6629f17b7bb403e021ffdd90f%22	https://www.schloss-freudenfels.ch/en/legal/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/legal/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:29	39205/39205	---MCZ	200	added ('OK')	text/html	etag:W/%229607717c06150cee009863cae91e84c4%22	https://www.schloss-freudenfels.ch/de/legal/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/legal/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:30	122/122	---M--	200	added ('OK')	text/html	etag:%22284e5c6ed438e8d5596ae9fbe76bf34a%22	https://www.schloss-freudenfels.ch/de/hochzeiten-und-feiern/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/hochzeiten-und-feiern/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:32	22982/22982	---MCZ	200	added ('OK')	text/html	etag:W/%22137876b258672b76fd13fc80a9502d83%22	https://www.schloss-freudenfels.ch/de/404/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/404/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:33	226/226	---M--	200	added ('OK')	text/html	etag:%22c2f60a5738d0e073121dce11a693e66c%22	https://www.schloss-freudenfels.ch/en/info/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/info/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:33	5823/5823	---MCZ	200	added ('OK')	text/html	etag:W/%228d3c56a8276eb44d2053f7542065ca13%22	https://www.schloss-freudenfels.ch/unpublished/index.html	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/unpublished/index.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:36	65447/65447	---MCZ	200	added ('OK')	text/html	etag:W/%22441418af9be248478554be85bf580c73%22	https://www.schloss-freudenfels.ch/de/sommerfrische/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/sommerfrische/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:37	102341/102341	---MCZ	200	added ('OK')	text/html	etag:W/%22ecbaad13fed0e8c42e5461fe61dca332%22	https://www.schloss-freudenfels.ch/de/veranstaltungen/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/veranstaltungen/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:37	97676/97676	---MCZ	200	added ('OK')	text/html	etag:W/%2208fa1a954e04f70fb6a2fdea691538f4%22	https://www.schloss-freudenfels.ch/de/restaurant/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/restaurant/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:38	1014292/1014292	---MCZ	200	added ('OK')	application/javascript	etag:W/%22149c79ff1fcf225f0081fefe0ba409d5%22	https://www.schloss-freudenfels.ch/index.js	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/index.js	(from https://www.schloss-freudenfels.ch/en/)
19:29:38	100024/100024	---MCZ	200	added ('OK')	text/html	etag:W/%225e37d263ee6d60b9c61b23c10a51376f%22	https://www.schloss-freudenfels.ch/de/hotel/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/hotel/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:38	94574/94574	---MCZ	200	added ('OK')	text/html	etag:W/%22dfd9212f26f0f8671469e8dd833c100d%22	https://www.schloss-freudenfels.ch/en/restaurant/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/restaurant/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:39	29766/29766	---MCZ	200	added ('OK')	application/javascript	etag:W/%228bcc6d0df2563c065983c185a172eeae%22	https://static.cdn.prismic.io/prismic.js?new=true&repo=schloss-freudenfels	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/static.cdn.prismic.io/prismic109a.js	(from https://www.schloss-freudenfels.ch/en/)
19:29:39	55957/55957	---MCZ	200	added ('OK')	text/html	etag:W/%227aecd47e3a99ae09f2cc3ee1f7f5c9bd%22	https://www.schloss-freudenfels.ch/de/auffahrt/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/auffahrt/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:39	45365/45365	---MCZ	200	added ('OK')	text/html	etag:W/%22da6c4cc60b39eb69433c0312ed3363f3%22	https://www.schloss-freudenfels.ch/de/wild-event/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/wild-event/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:39	95286/95286	---MCZ	200	added ('OK')	text/html	etag:W/%22bfa01a5eb802e2b966f16a3db2ef7a0d%22	https://www.schloss-freudenfels.ch/en/hotel/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/hotel/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:41	39532/39532	---MCZ	200	added ('OK')	text/css	etag:W/%223efb0295615417577c9d0971830197b8%22	https://www.schloss-freudenfels.ch/index.css	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/index.css	(from https://www.schloss-freudenfels.ch/en/)
